bam_filename,bam_index_filename,dataset_pk,is_on_blob,library_id,sample_id
GVM0278_BC/A46111/merge32783_bwa-mem-0.7.6a-sb/100bp/hg19a/A46111_3_lanes_dupsFlagged.bam,GVM0278_BC/A46111/merge32783_bwa-mem-0.7.6a-sb/100bp/hg19a/A46111_3_lanes_dupsFlagged.bam.bai,5759,True,A46111,SA296N
SA585/A47255/merge32843_bwa-mem-0.7.6a-sb/125bp/hg19a/A47255_4_lanes_dupsFlagged.bam,SA585/A47255/merge32843_bwa-mem-0.7.6a-sb/125bp/hg19a/A47255_4_lanes_dupsFlagged.bam.bai,5825,True,A47255,SA585
SA586/A47256/merge32817_bwa-mem-0.7.6a-sb/125bp/hg19a/A47256_4_lanes_dupsFlagged.bam,SA586/A47256/merge32817_bwa-mem-0.7.6a-sb/125bp/hg19a/A47256_4_lanes_dupsFlagged.bam.bai,5826,True,A47256,SA586
SA588/A47257/merge32842_bwa-mem-0.7.6a-sb/125bp/hg19a/A47257_4_lanes_dupsFlagged.bam,SA588/A47257/merge32842_bwa-mem-0.7.6a-sb/125bp/hg19a/A47257_4_lanes_dupsFlagged.bam.bai,5827,True,A47257,SA588
SA589/A47258/merge32832_bwa-mem-0.7.6a-sb/125bp/hg19a/A47258_4_lanes_dupsFlagged.bam,SA589/A47258/merge32832_bwa-mem-0.7.6a-sb/125bp/hg19a/A47258_4_lanes_dupsFlagged.bam.bai,5828,True,A47258,SA589
SA590/A47259/merge32863_bwa-mem-0.7.6a-sb/125bp/hg19a/A47259_4_lanes_dupsFlagged.bam,SA590/A47259/merge32863_bwa-mem-0.7.6a-sb/125bp/hg19a/A47259_4_lanes_dupsFlagged.bam.bai,5829,True,A47259,SA590
SA591/A47260/merge32874_bwa-mem-0.7.6a-sb/125bp/hg19a/A47260_4_lanes_dupsFlagged.bam,SA591/A47260/merge32874_bwa-mem-0.7.6a-sb/125bp/hg19a/A47260_4_lanes_dupsFlagged.bam.bai,5830,True,A47260,SA591
SA592/A47261/merge32919_bwa-mem-0.7.6a-sb/125bp/hg19a/A47261_4_lanes_dupsFlagged.bam,SA592/A47261/merge32919_bwa-mem-0.7.6a-sb/125bp/hg19a/A47261_4_lanes_dupsFlagged.bam.bai,5831,True,A47261,SA592
SA593/A47262/merge32862_bwa-mem-0.7.6a-sb/125bp/hg19a/A47262_4_lanes_dupsFlagged.bam,SA593/A47262/merge32862_bwa-mem-0.7.6a-sb/125bp/hg19a/A47262_4_lanes_dupsFlagged.bam.bai,5832,True,A47262,SA593
SA595/A47264/merge32831_bwa-mem-0.7.6a-sb/125bp/hg19a/A47264_4_lanes_dupsFlagged.bam,SA595/A47264/merge32831_bwa-mem-0.7.6a-sb/125bp/hg19a/A47264_4_lanes_dupsFlagged.bam.bai,5833,True,A47264,SA595
SA596/A47265/merge32792_bwa-mem-0.7.6a-sb/125bp/hg19a/A47265_4_lanes_dupsFlagged.bam,SA596/A47265/merge32792_bwa-mem-0.7.6a-sb/125bp/hg19a/A47265_4_lanes_dupsFlagged.bam.bai,5834,True,A47265,SA596
SA597/A47266/merge32791_bwa-mem-0.7.6a-sb/125bp/hg19a/A47266_4_lanes_dupsFlagged.bam,SA597/A47266/merge32791_bwa-mem-0.7.6a-sb/125bp/hg19a/A47266_4_lanes_dupsFlagged.bam.bai,5835,True,A47266,SA597
SA598/A47267/merge32915_bwa-mem-0.7.6a-sb/125bp/hg19a/A47267_4_lanes_dupsFlagged.bam,SA598/A47267/merge32915_bwa-mem-0.7.6a-sb/125bp/hg19a/A47267_4_lanes_dupsFlagged.bam.bai,5836,True,A47267,SA598
SA599/A47268/merge32790_bwa-mem-0.7.6a-sb/125bp/hg19a/A47268_4_lanes_dupsFlagged.bam,SA599/A47268/merge32790_bwa-mem-0.7.6a-sb/125bp/hg19a/A47268_4_lanes_dupsFlagged.bam.bai,5837,True,A47268,SA599
SA601/A47269/merge32865_bwa-mem-0.7.6a-sb/125bp/hg19a/A47269_4_lanes_dupsFlagged.bam,SA601/A47269/merge32865_bwa-mem-0.7.6a-sb/125bp/hg19a/A47269_4_lanes_dupsFlagged.bam.bai,5838,True,A47269,SA601
SA600/A47270/merge32794_bwa-mem-0.7.6a-sb/125bp/hg19a/A47270_4_lanes_dupsFlagged.bam,SA600/A47270/merge32794_bwa-mem-0.7.6a-sb/125bp/hg19a/A47270_4_lanes_dupsFlagged.bam.bai,5839,True,A47270,SA600
SA402/A47271/merge32905_bwa-mem-0.7.6a-sb/125bp/hg19a/A47271_4_lanes_dupsFlagged.bam,SA402/A47271/merge32905_bwa-mem-0.7.6a-sb/125bp/hg19a/A47271_4_lanes_dupsFlagged.bam.bai,5840,True,A47271,SA402
SA404/A47273/merge32797_bwa-mem-0.7.6a-sb/125bp/hg19a/A47273_4_lanes_dupsFlagged.bam,SA404/A47273/merge32797_bwa-mem-0.7.6a-sb/125bp/hg19a/A47273_4_lanes_dupsFlagged.bam.bai,5841,True,A47273,SA404
SA654/A47274/merge32881_bwa-mem-0.7.6a-sb/125bp/hg19a/A47274_4_lanes_dupsFlagged.bam,SA654/A47274/merge32881_bwa-mem-0.7.6a-sb/125bp/hg19a/A47274_4_lanes_dupsFlagged.bam.bai,5842,True,A47274,SA654
SA655/A47275/merge32800_bwa-mem-0.7.6a-sb/125bp/hg19a/A47275_4_lanes_dupsFlagged.bam,SA655/A47275/merge32800_bwa-mem-0.7.6a-sb/125bp/hg19a/A47275_4_lanes_dupsFlagged.bam.bai,5843,True,A47275,SA655
SA274/A47276/merge32807_bwa-mem-0.7.6a-sb/125bp/hg19a/A47276_4_lanes_dupsFlagged.bam,SA274/A47276/merge32807_bwa-mem-0.7.6a-sb/125bp/hg19a/A47276_4_lanes_dupsFlagged.bam.bai,5844,True,A47276,SA274
SA287/A47277/merge32806_bwa-mem-0.7.6a-sb/125bp/hg19a/A47277_4_lanes_dupsFlagged.bam,SA287/A47277/merge32806_bwa-mem-0.7.6a-sb/125bp/hg19a/A47277_4_lanes_dupsFlagged.bam.bai,5845,True,A47277,SA287
SA276/A47278/merge32799_bwa-mem-0.7.6a-sb/125bp/hg19a/A47278_4_lanes_dupsFlagged.bam,SA276/A47278/merge32799_bwa-mem-0.7.6a-sb/125bp/hg19a/A47278_4_lanes_dupsFlagged.bam.bai,5846,True,A47278,SA276
SA279/A47279/merge32809_bwa-mem-0.7.6a-sb/125bp/hg19a/A47279_4_lanes_dupsFlagged.bam,SA279/A47279/merge32809_bwa-mem-0.7.6a-sb/125bp/hg19a/A47279_4_lanes_dupsFlagged.bam.bai,5847,True,A47279,SA279
SA585N/A47280/merge32880_bwa-mem-0.7.6a-sb/125bp/hg19a/A47280_2_lanes_dupsFlagged.bam,SA585N/A47280/merge32880_bwa-mem-0.7.6a-sb/125bp/hg19a/A47280_2_lanes_dupsFlagged.bam.bai,5760,True,A47280,SA585N
SA586N/A47281/merge32904_bwa-mem-0.7.6a-sb/125bp/hg19a/A47281_2_lanes_dupsFlagged.bam,SA586N/A47281/merge32904_bwa-mem-0.7.6a-sb/125bp/hg19a/A47281_2_lanes_dupsFlagged.bam.bai,5761,True,A47281,SA586N
SA588N/A47282/merge32898_bwa-mem-0.7.6a-sb/125bp/hg19a/A47282_2_lanes_dupsFlagged.bam,SA588N/A47282/merge32898_bwa-mem-0.7.6a-sb/125bp/hg19a/A47282_2_lanes_dupsFlagged.bam.bai,5762,True,A47282,SA588N
SA589N/A47283/merge32864_bwa-mem-0.7.6a-sb/125bp/hg19a/A47283_2_lanes_dupsFlagged.bam,SA589N/A47283/merge32864_bwa-mem-0.7.6a-sb/125bp/hg19a/A47283_2_lanes_dupsFlagged.bam.bai,5763,True,A47283,SA589N
SA590N/A47284/merge32866_bwa-mem-0.7.6a-sb/125bp/hg19a/A47284_2_lanes_dupsFlagged.bam,SA590N/A47284/merge32866_bwa-mem-0.7.6a-sb/125bp/hg19a/A47284_2_lanes_dupsFlagged.bam.bai,5764,True,A47284,SA590N
SA591N/A47285/merge32891_bwa-mem-0.7.6a-sb/125bp/hg19a/A47285_2_lanes_dupsFlagged.bam,SA591N/A47285/merge32891_bwa-mem-0.7.6a-sb/125bp/hg19a/A47285_2_lanes_dupsFlagged.bam.bai,5765,True,A47285,SA591N
